============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           May 23 2023  12:39:44 am
  Module:                 model_baseline
  Technology libraries:   scadv10_cln65gp_lvt_ff_1p1v_m40c 1.0
                          physical_cells 
  Operating conditions:   scadv10_cln65gp_lvt_ff_1p1v_m40c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Instance                                            Module                        Cell Count   Cell Area   Net Area    Total Area 
    N1[12].N2[355].TR                               tmr_TRIPLICATE1h0_3724                                       2      13.200       1.067       14.267 
    N1[12].N2[354].TR                               tmr_TRIPLICATE1h0_3723                                       2      13.200       1.067       14.267 
    N1[12].N2[353].TR                               tmr_TRIPLICATE1h1_6278                                       2      13.200       1.067       14.267 
    N1[12].N2[352].TR                               tmr_TRIPLICATE1h1_6277                                       2      13.200       1.067       14.267 
    N1[12].N2[351].TR                               tmr_TRIPLICATE1h1_6276                                       2      13.200       1.067       14.267 
    N1[12].N2[350].TR                               tmr_TRIPLICATE1h0_3722                                       2      13.200       1.067       14.267 
    N1[12].N2[349].TR                               tmr_TRIPLICATE1h1_6275                                       2      13.200       1.067       14.267 
    N1[12].N2[348].TR                               tmr_TRIPLICATE1h1_6274                                       2      13.200       1.067       14.267 
    N1[12].N2[347].TR                               tmr_TRIPLICATE1h1_6273                                       2      13.200       1.067       14.267 
    N1[12].N2[346].TR                               tmr_TRIPLICATE1h1_6272                                       2      13.200       1.067       14.267 
    N1[12].N2[345].TR                               tmr_TRIPLICATE1h0_3721                                       2      13.200       1.067       14.267 
    N1[12].N2[344].TR                               tmr_TRIPLICATE1h1_6271                                       2      14.000       1.067       15.067 
    N1[12].N2[343].TR                               tmr_TRIPLICATE1h1_6270                                       2      13.200       1.067       14.267 
    N1[12].N2[342].TR                               tmr_TRIPLICATE1h0_3720                                       2      13.200       1.067       14.267 
    N1[12].N2[341].TR                               tmr_TRIPLICATE1h1_6269                                       2      13.200       1.067       14.267 
    N1[12].N2[340].TR                               tmr_TRIPLICATE1h1_6268                                       2      13.200       1.067       14.267 
    N1[12].N2[339].TR                               tmr_TRIPLICATE1h1_6267                                       2      13.200       1.067       14.267 
    N1[12].N2[338].TR                               tmr_TRIPLICATE1h1_6266                                       2      13.200       1.067       14.267 
    N1[12].N2[337].TR                               tmr_TRIPLICATE1h1_6265                                       2      14.000       1.067       15.067 
    N1[12].N2[336].TR                               tmr_TRIPLICATE1h0_3719                                       2      13.200       1.067       14.267 
    N1[12].N2[335].TR                               tmr_TRIPLICATE1h1_6264                                       2      13.200       1.067       14.267 
    N1[12].N2[334].TR                               tmr_TRIPLICATE1h0_3718                                       2      13.200       1.067       14.267 
    N1[12].N2[333].TR                               tmr_TRIPLICATE1h1_6263                                       2      13.200       1.067       14.267 
    N1[12].N2[332].TR                               tmr_TRIPLICATE1h1_6262                                       2      13.200       1.067       14.267 
    N1[12].N2[331].TR                               tmr_TRIPLICATE1h0_3717                                       2      13.200       1.067       14.267 
    N1[12].N2[330].TR                               tmr_TRIPLICATE1h1_6261                                       2      13.200       1.067       14.267 
    N1[12].N2[329].TR                               tmr_TRIPLICATE1h1_6260                                       2      13.200       1.067       14.267 
    N1[12].N2[328].TR                               tmr_TRIPLICATE1h1_6259                                       2      13.200       1.067       14.267 
    N1[12].N2[327].TR                               tmr_TRIPLICATE1h1_6258                                       2      13.200       1.067       14.267 
    N1[12].N2[326].TR                               tmr_TRIPLICATE1h1_6257                                       2      13.200       1.067       14.267 
    N1[12].N2[325].TR                               tmr_TRIPLICATE1h1_6256                                       2      14.000       1.067       15.067 
    N1[12].N2[324].TR                               tmr_TRIPLICATE1h1_6255                                       2      13.200       1.067       14.267 
    N1[12].N2[323].TR                               tmr_TRIPLICATE1h1_6254                                       2      13.200       1.067       14.267 
    N1[12].N2[322].TR                               tmr_TRIPLICATE1h1_6253                                       2      13.200       1.067       14.267 
    N1[12].N2[321].TR                               tmr_TRIPLICATE1h0_3716                                       2      13.200       1.067       14.267 
    N1[12].N2[320].TR                               tmr_TRIPLICATE1h0_3715                                       2      13.200       1.067       14.267 
    N1[12].N2[319].TR                               tmr_TRIPLICATE1h1_6252                                       2      14.000       1.067       15.067 
    N1[12].N2[318].TR                               tmr_TRIPLICATE1h0_3714                                       2      13.200       1.067       14.267 
    N1[12].N2[317].TR                               tmr_TRIPLICATE1h1_6251                                       2      13.200       1.067       14.267 
    N1[12].N2[316].TR                               tmr_TRIPLICATE1h0_3713                                       2      13.200       1.067       14.267 
    N1[12].N2[315].TR                               tmr_TRIPLICATE1h0_3712                                       2      13.200       1.067       14.267 
    N1[12].N2[314].TR                               tmr_TRIPLICATE1h1_6250                                       2      13.200       1.067       14.267 
    N1[12].N2[313].TR                               tmr_TRIPLICATE1h1_6249                                       2      13.200       1.067       14.267 
    N1[12].N2[312].TR                               tmr_TRIPLICATE1h0_3711                                       2      13.200       1.067       14.267 
    N1[12].N2[311].TR                               tmr_TRIPLICATE1h1_6248                                       2      14.000       1.067       15.067 
    N1[12].N2[310].TR                               tmr_TRIPLICATE1h1_6247                                       2      13.200       1.067       14.267 
    N1[12].N2[309].TR                               tmr_TRIPLICATE1h1_6246                                       2      13.200       1.067       14.267 
    N1[12].N2[308].TR                               tmr_TRIPLICATE1h1_6245                                       2      13.200       1.067       14.267 
    N1[12].N2[307].TR                               tmr_TRIPLICATE1h1_6244                                       2      13.200       1.067       14.267 
    N1[12].N2[306].TR                               tmr_TRIPLICATE1h1_6243                                       2      13.200       1.067       14.267 
    N1[12].N2[305].TR                               tmr_TRIPLICATE1h1_6242                                       2      14.000       1.067       15.067 
    N1[12].N2[304].TR                               tmr_TRIPLICATE1h0_3710                                       2      13.200       1.067       14.267 
    N1[12].N2[303].TR                               tmr_TRIPLICATE1h0_3709                                       2      13.200       1.067       14.267 
    N1[12].N2[302].TR                               tmr_TRIPLICATE1h0_3708                                       2      13.200       1.067       14.267 
    N1[12].N2[301].TR                               tmr_TRIPLICATE1h1_6241                                       2      13.200       1.067       14.267 
    N1[12].N2[300].TR                               tmr_TRIPLICATE1h0_3707                                       2      13.200       1.067       14.267 
    N1[12].N2[299].TR                               tmr_TRIPLICATE1h1_6240                                       2      13.200       1.067       14.267 
    N1[12].N2[298].TR                               tmr_TRIPLICATE1h1_6239                                       2      13.200       1.067       14.267 
    N1[12].N2[297].TR                               tmr_TRIPLICATE1h1_6238                                       2      14.000       1.067       15.067 
    N1[12].N2[296].TR                               tmr_TRIPLICATE1h1_6237                                       2      13.200       1.067       14.267 
    N1[12].N2[295].TR                               tmr_TRIPLICATE1h0_3706                                       2      13.200       1.067       14.267 
    N1[12].N2[294].TR                               tmr_TRIPLICATE1h1_6236                                       2      13.200       1.067       14.267 
    N1[12].N2[293].TR                               tmr_TRIPLICATE1h1_6235                                       2      13.200       1.067       14.267 
    N1[12].N2[292].TR                               tmr_TRIPLICATE1h1_6234                                       2      13.200       1.067       14.267 
    N1[12].N2[291].TR                               tmr_TRIPLICATE1h1_6233                                       2      13.200       1.067       14.267 
    N1[12].N2[290].TR                               tmr_TRIPLICATE1h0_3705                                       2      13.200       1.067       14.267 
    N1[12].N2[289].TR                               tmr_TRIPLICATE1h1_6232                                       2      13.200       1.067       14.267 
    N1[12].N2[288].TR                               tmr_TRIPLICATE1h1_6231                                       2      13.200       1.067       14.267 
    N1[12].N2[287].TR                               tmr_TRIPLICATE1h1_6230                                       2      13.200       1.067       14.267 
    N1[12].N2[286].TR                               tmr_TRIPLICATE1h1_6229                                       2      13.200       1.067       14.267 
    N1[12].N2[285].TR                               tmr_TRIPLICATE1h0_3704                                       2      13.200       1.067       14.267 
    N1[12].N2[284].TR                               tmr_TRIPLICATE1h0_3703                                       2      13.200       1.067       14.267 
    N1[12].N2[283].TR                               tmr_TRIPLICATE1h1_6228                                       2      14.000       1.067       15.067 
    N1[12].N2[282].TR                               tmr_TRIPLICATE1h1_6227                                       2      13.200       1.067       14.267 
    N1[12].N2[281].TR                               tmr_TRIPLICATE1h1_6226                                       2      13.200       1.067       14.267 
    N1[12].N2[280].TR                               tmr_TRIPLICATE1h0_3702                                       2      13.200       1.067       14.267 
    N1[12].N2[279].TR                               tmr_TRIPLICATE1h1_6225                                       2      13.200       1.067       14.267 
    N1[12].N2[278].TR                               tmr_TRIPLICATE1h0_3701                                       2      13.200       1.067       14.267 
    N1[12].N2[277].TR                               tmr_TRIPLICATE1h1_6224                                       2      13.200       1.067       14.267 
    N1[12].N2[276].TR                               tmr_TRIPLICATE1h1_6223                                       2      13.200       1.067       14.267 
    N1[12].N2[275].TR                               tmr_TRIPLICATE1h0_3700                                       2      13.200       1.067       14.267 
    N1[12].N2[274].TR                               tmr_TRIPLICATE1h0_3699                                       2      13.200       1.067       14.267 
    N1[12].N2[273].TR                               tmr_TRIPLICATE1h0_3698                                       2      13.200       1.067       14.267 
    N1[12].N2[272].TR                               tmr_TRIPLICATE1h1_6222                                       2      13.200       1.067       14.267 
    N1[12].N2[271].TR                               tmr_TRIPLICATE1h0_3697                                       2      13.200       1.067       14.267 
    N1[12].N2[270].TR                               tmr_TRIPLICATE1h1_6221                                       2      13.200       1.067       14.267 
    N1[12].N2[269].TR                               tmr_TRIPLICATE1h0_3696                                       2      13.200       1.067       14.267 
    N1[12].N2[268].TR                               tmr_TRIPLICATE1h1_6220                                       2      13.200       1.067       14.267 
    N1[12].N2[267].TR                               tmr_TRIPLICATE1h1_6219                                       2      14.000       1.067       15.067 
    N1[12].N2[266].TR                               tmr_TRIPLICATE1h0_3695                                       2      13.200       1.067       14.267 
    N1[12].N2[265].TR                               tmr_TRIPLICATE1h1_6218                                       2      13.200       1.067       14.267 
    N1[12].N2[264].TR                               tmr_TRIPLICATE1h0_3694                                       2      13.200       1.067       14.267 
    N1[12].N2[263].TR                               tmr_TRIPLICATE1h1_6217                                       2      13.200       1.067       14.267 
    N1[12].N2[262].TR                               tmr_TRIPLICATE1h1_6216                                       2      13.200       1.067       14.267 
    N1[12].N2[261].TR                               tmr_TRIPLICATE1h0_3693                                       2      13.200       1.067       14.267 
    N1[12].N2[260].TR                               tmr_TRIPLICATE1h1_6215                                       2      13.200       1.067       14.267 
    N1[12].N2[259].TR                               tmr_TRIPLICATE1h0_3692                                       2      13.200       1.067       14.267 
    N1[12].N2[258].TR                               tmr_TRIPLICATE1h0_3691                                       2      13.200       1.067       14.267 
    N1[12].N2[257].TR                               tmr_TRIPLICATE1h1_6214                                       2      13.200       1.067       14.267 
    N1[12].N2[256].TR                               tmr_TRIPLICATE1h1_6213                                       2      13.200       1.067       14.267 
    N1[12].N2[255].TR                               tmr_TRIPLICATE1h1_6212                                       2      13.200       1.067       14.267 
    N1[12].N2[254].TR                               tmr_TRIPLICATE1h0_3690                                       2      13.200       1.067       14.267 
    N1[12].N2[253].TR                               tmr_TRIPLICATE1h1_6211                                       2      13.200       1.067       14.267 
    N1[12].N2[252].TR                               tmr_TRIPLICATE1h0_3689                                       2      13.200       1.067       14.267 
    N1[12].N2[251].TR                               tmr_TRIPLICATE1h0_3688                                       2      13.200       1.067       14.267 
    N1[12].N2[250].TR                               tmr_TRIPLICATE1h1_6210                                       2      14.000       1.067       15.067 
    N1[12].N2[249].TR                               tmr_TRIPLICATE1h1_6209                                       2      14.000       1.067       15.067 
    N1[12].N2[248].TR                               tmr_TRIPLICATE1h1_6208                                       2      13.200       1.067       14.267 
    N1[12].N2[247].TR                               tmr_TRIPLICATE1h1_6207                                       2      13.200       1.067       14.267 
    N1[12].N2[246].TR                               tmr_TRIPLICATE1h1_6206                                       2      13.200       1.067       14.267 
    N1[12].N2[245].TR                               tmr_TRIPLICATE1h1_6205                                       2      13.200       1.067       14.267 
    N1[12].N2[244].TR                               tmr_TRIPLICATE1h0_3687                                       2      13.200       1.067       14.267 
    N1[12].N2[243].TR                               tmr_TRIPLICATE1h0_3686                                       2      13.200       1.067       14.267 
    N1[12].N2[242].TR                               tmr_TRIPLICATE1h1_6204                                       2      13.200       1.067       14.267 
    N1[12].N2[241].TR                               tmr_TRIPLICATE1h0_3685                                       2      13.200       1.067       14.267 
    N1[12].N2[240].TR                               tmr_TRIPLICATE1h0_3684                                       2      13.200       1.067       14.267 
    N1[12].N2[239].TR                               tmr_TRIPLICATE1h1_6203                                       2      13.200       1.067       14.267 
    N1[12].N2[238].TR                               tmr_TRIPLICATE1h0_3683                                       2      13.200       1.067       14.267 
    N1[5].N2[720].TR                                tmr_TRIPLICATE1h0_1753                                       2      13.200       1.067       14.267 
    N1[5].N2[719].TR                                tmr_TRIPLICATE1h0_1752                                       2      13.200       1.067       14.267 
    N1[5].N2[718].TR                                tmr_TRIPLICATE1h0_1751                                       2      13.200       1.067       14.267 
    N1[5].N2[717].TR                                tmr_TRIPLICATE1h1_2986                                       2      13.200       1.067       14.267 
    N1[5].N2[716].TR                                tmr_TRIPLICATE1h1_2985                                       2      13.200       1.067       14.267 
    N1[5].N2[715].TR                                tmr_TRIPLICATE1h0_1750                                       2      13.200       1.067       14.267 
    N1[5].N2[714].TR                                tmr_TRIPLICATE1h1_2984                                       2      13.200       1.067       14.267 
    N1[5].N2[713].TR                                tmr_TRIPLICATE1h0_1749                                       2      13.200       1.067       14.267 
    N1[5].N2[712].TR                                tmr_TRIPLICATE1h1_2983                                       2      13.200       1.067       14.267 
    N1[5].N2[711].TR                                tmr_TRIPLICATE1h0_1748                                       2      13.200       1.067       14.267 
    N1[5].N2[710].TR                                tmr_TRIPLICATE1h1_2982                                       2      13.200       1.067       14.267 
    N1[5].N2[709].TR                                tmr_TRIPLICATE1h1_2981                                       2      13.200       1.067       14.267 
    N1[5].N2[708].TR                                tmr_TRIPLICATE1h1_2980                                       2      13.200       1.067       14.267 
    N1[5].N2[707].TR                                tmr_TRIPLICATE1h1_2979                                       2      13.200       1.067       14.267 
